Textbox129,Textbox141,Textbox35,qq7,Textbox38,Textbox128,all val mo_label,all val mo_Chart8_CategoryGroup_label,all val mo_Chart8_CategoryGroup_Chart8_CategoryGroup1_label,all val mo_Chart8_CategoryGroup_Chart8_CategoryGroup1_Value_Y,stat_year7,gen_qty_mo16,gen_qty_mo17,gen_qty_yr7
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.426434824139548,,,,
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.442415781870428,,,,
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.368332570098665,,,,
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.499190082697533,,,,
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.465143899476074,,,,
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.472745726033035,,,,
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.524256968370061,,,,
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.512009005311035,,,,
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.391384180327621,,,,
Show/hide quarterly totals,,,,,,all qty mo,2019,,0.423175229873971,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.574743167228934,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.602198459348114,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.633255338457124,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.553959201077201,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.485044178185639,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.647590197851254,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.630490549226439,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.566885229837004,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.572150969100568,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.487431564632017,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.443405823352583,,,,
Show/hide quarterly totals,,,,,,all qty mo,2020,,0.406132223390805,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.450544853318842,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.379195003970549,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.426015174648421,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.403538647893993,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.443082664694613,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.501383008450668,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.477861252479611,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.618873404968641,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.546870732405455,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.520395830726405,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.403172127659481,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.366522569549037,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.459883648878114,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.455798976974334,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.48784451775149,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.448344494728631,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.508829418572792,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.553766441647234,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.612267626411401,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.642023354641217,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.621029962164159,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.479110544002943,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.569906880003854,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.518891301210914,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.577068029019167,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.564398776182884,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.540706409759756,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.61129709172774,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.589268679016792,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.637992553544277,,,,
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2023,0.58,0.56,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2023,0.56,0.56,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2023,0.54,0.56,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2023,0.61,0.61,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2023,0.59,0.61,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2023,0.64,0.61,0.59
